Sample,Group,Zone,Region,NumReads,CovBases,Coverage_Pct,Mean_Depth,Mean_BaseQ,Mean_MapQ
RNP_Cas1_S65_L002,RNP_Cas,full_region,NC_088832.1:15849094-15850313,476,1220,100,50.768,39.3,60
RNP_Cas1_S65_L002,RNP_Cas,sgRNA_site,NC_088832.1:15849694-15849713,58,20,100,51.7,39.3,60
RNP_Cas1_S65_L002,RNP_Cas,upstream_100bp,NC_088832.1:15849594-15849693,85,100,100,49.77,39.2,60
RNP_Cas1_S65_L002,RNP_Cas,upstream_500bp,NC_088832.1:15849094-15849593,224,500,100,50.52,39.3,60
RNP_Cas1_S65_L002,RNP_Cas,downstream_100bp,NC_088832.1:15849714-15849813,83,100,100,52.22,39.4,60
RNP_Cas1_S65_L002,RNP_Cas,downstream_500bp,NC_088832.1:15849814-15850313,223,500,100,50.888,39.3,60
RNP_Cas2_S66_L002,RNP_Cas,full_region,NC_088832.1:15849094-15850313,492,1220,100,54.3852,39.2,59.9
RNP_Cas2_S66_L002,RNP_Cas,sgRNA_site,NC_088832.1:15849694-15849713,63,20,100,54.55,39.2,60
RNP_Cas2_S66_L002,RNP_Cas,upstream_100bp,NC_088832.1:15849594-15849693,86,100,100,57.92,39.2,60
RNP_Cas2_S66_L002,RNP_Cas,upstream_500bp,NC_088832.1:15849094-15849593,234,500,100,53.762,39.1,59.9
RNP_Cas2_S66_L002,RNP_Cas,downstream_100bp,NC_088832.1:15849714-15849813,91,100,100,52.01,38.9,60
RNP_Cas2_S66_L002,RNP_Cas,downstream_500bp,NC_088832.1:15849814-15850313,235,500,100,54.77,39.2,60
RNP_Cas3_S67_L002,RNP_Cas,full_region,NC_088832.1:15849094-15850313,609,1220,100,65.8418,39.1,60
RNP_Cas3_S67_L002,RNP_Cas,sgRNA_site,NC_088832.1:15849694-15849713,75,20,100,69.25,38.5,60
RNP_Cas3_S67_L002,RNP_Cas,upstream_100bp,NC_088832.1:15849594-15849693,110,100,100,70.49,38.7,60
RNP_Cas3_S67_L002,RNP_Cas,upstream_500bp,NC_088832.1:15849094-15849593,290,500,100,64.512,39.2,60
RNP_Cas3_S67_L002,RNP_Cas,downstream_100bp,NC_088832.1:15849714-15849813,111,100,100,63.2,39,60
RNP_Cas3_S67_L002,RNP_Cas,downstream_500bp,NC_088832.1:15849814-15850313,286,500,100,66.634,39.2,60
RNP_Cas4_S68_L002,RNP_Cas,full_region,NC_088832.1:15849094-15850313,518,1220,100,55.1516,39.1,60
RNP_Cas4_S68_L002,RNP_Cas,sgRNA_site,NC_088832.1:15849694-15849713,67,20,100,54.5,38.5,60
RNP_Cas4_S68_L002,RNP_Cas,upstream_100bp,NC_088832.1:15849594-15849693,90,100,100,54.91,38.8,60
RNP_Cas4_S68_L002,RNP_Cas,upstream_500bp,NC_088832.1:15849094-15849593,223,500,100,49.362,39.1,60
RNP_Cas4_S68_L002,RNP_Cas,downstream_100bp,NC_088832.1:15849714-15849813,100,100,100,64.47,38.9,60
RNP_Cas4_S68_L002,RNP_Cas,downstream_500bp,NC_088832.1:15849814-15850313,270,500,100,59.152,39.1,60
