Sample,Group,Zone,Zone_Start,Zone_End,Mean_Depth,Min_Depth,Max_Depth,Positions
RNP_Cas1_S65_L002,RNP_Cas,sgRNA_site,15922039,15922058,51.70,51,53,20
RNP_Cas1_S65_L002,RNP_Cas,downstream_100bp,15922059,15922158,52.22,42,60,100
RNP_Cas1_S65_L002,RNP_Cas,downstream_500bp,15922159,15922658,50.89,29,67,500
RNP_Cas2_S66_L002,RNP_Cas,upstream_500bp,15921439,15921938,53.76,44,63,500
RNP_Cas2_S66_L002,RNP_Cas,upstream_100bp,15921939,15922038,57.92,54,63,100
RNP_Cas2_S66_L002,RNP_Cas,sgRNA_site,15922039,15922058,54.55,52,56,20
RNP_Cas2_S66_L002,RNP_Cas,downstream_100bp,15922059,15922158,52.01,48,57,100
RNP_Cas2_S66_L002,RNP_Cas,downstream_500bp,15922159,15922658,54.77,45,63,500
RNP_Cas3_S67_L002,RNP_Cas,upstream_500bp,15921439,15921938,64.51,53,78,500
RNP_Cas3_S67_L002,RNP_Cas,upstream_100bp,15921939,15922038,70.49,63,77,100
RNP_Cas3_S67_L002,RNP_Cas,sgRNA_site,15922039,15922058,69.25,66,72,20
RNP_Cas3_S67_L002,RNP_Cas,downstream_100bp,15922059,15922158,63.20,58,69,100
RNP_Cas3_S67_L002,RNP_Cas,downstream_500bp,15922159,15922658,66.63,48,78,500
RNP_Cas4_S68_L002,RNP_Cas,upstream_500bp,15921439,15921938,49.36,36,67,500
RNP_Cas4_S68_L002,RNP_Cas,upstream_100bp,15921939,15922038,54.91,53,57,100
RNP_Cas4_S68_L002,RNP_Cas,sgRNA_site,15922039,15922058,54.50,52,58,20
RNP_Cas4_S68_L002,RNP_Cas,downstream_100bp,15922059,15922158,64.47,58,69,100
RNP_Cas4_S68_L002,RNP_Cas,downstream_500bp,15922159,15922658,59.15,48,76,500
