Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	9.331304104611988	39.0	150.12700749372826	151	9.090909090909092	119.34339899999999
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	3.3688869169863978	43.0	136.28590891023094	151	27.27272727272727	0.311956
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	10.040569453201769	39.0	150.30343806132842	151	9.090909090909092	155.97653699999998
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	3.6366787045426747	43.0	142.92902481246392	151	9.090909090909092	1.606491
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	10.496819750590518	40.0	150.11887695647454	151	9.090909090909092	155.97653699999998
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	4.276758847936023	43.0	136.7361479255372	151	27.27272727272727	0.39198099999999997
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	9.734662955697999	39.0	150.29599222432174	151	9.090909090909092	143.140696
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	2.4909750723513326	43.0	142.05523547315465	151	9.090909090909092	1.415087
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	10.221659735493688	40.0	150.1091590402774	151	9.090909090909092	143.140696
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	3.5432601470805025	43.0	136.4132178817303	151	27.27272727272727	0.356744
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	10.658983431386929	39.0	150.2846817556028	151	9.090909090909092	176.41477899999998
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	2.8078946193698187	43.0	141.2253237397497	151	9.090909090909092	1.601904
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	10.998505049787497	39.0	150.10699456194655	151	9.090909090909092	176.41477899999998
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	2.9362986550888905	43.0	136.10928546480244	151	18.181818181818183	0.47240499999999996
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	10.579279666962947	39.0	150.29228238807485	151	9.090909090909092	161.32539599999998
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	2.9102962783295396	43.0	142.45140658756415	151	9.090909090909092	1.8959359999999998
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	11.020002948431014	40.0	150.10887207120197	151	9.090909090909092	161.32539599999998
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	3.187259704639672	43.0	135.85870329414504	151	18.181818181818183	0.42955
