Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	9.254006114020356	39.0	150.30039087208195	151	9.090909090909092	122.218757
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	2.4263689367009675	43.0	141.70813144797125	151	9.090909090909092	1.1225429999999998
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	9.591679862516003	40.0	150.114992660251	151	9.090909090909092	122.218757
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	3.3443009198718983	43.0	136.1798536462276	151	18.181818181818183	0.29722499999999996
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	8.92656805593532	39.0	150.31127748483948	151	9.090909090909092	120.163336
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	3.2505682114779404	43.0	141.9472042387096	151	9.090909090909092	1.212067
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	9.271081285679443	40.0	150.16033780886377	151	9.090909090909092	120.163336
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	4.0136987582503	43.0	136.57305989579154	151	27.27272727272727	0.31149099999999996
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	9.24413106832165	39.0	150.30151615116364	151	9.090909090909092	124.084527
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	3.1563282133737545	43.0	142.68963915094707	151	9.090909090909092	1.284914
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	9.432702963101647	39.0	150.11148538286324	151	9.090909090909092	124.084527
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	4.004888968039367	43.0	136.79990296033978	151	27.27272727272727	0.317396
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	9.26077400215263	39.0	150.32858591346547	151	9.090909090909092	122.451707
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	2.5254811920222977	43.0	142.3145155831624	151	9.090909090909092	1.270538
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	9.670095631362429	40.0	150.1630035831187	151	9.090909090909092	122.451707
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	3.1237522040753305	43.0	136.46949920666069	151	18.181818181818183	0.298107
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	8.792307605365565	39.0	150.24164442188342	151	9.090909090909092	109.70737
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	2.2864051940491095	43.0	141.89385025617617	151	9.090909090909092	1.121689
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	9.156321138979038	39.0	150.05403917713093	151	9.090909090909092	109.70737
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	2.709007240709738	43.0	135.79224583651748	151	18.181818181818183	0.290502
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	9.143374019873235	39.0	150.2928570184263	151	9.090909090909092	119.34339899999999
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	2.1793491559102875	43.0	141.8410954091358	151	9.090909090909092	1.184069
