Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	(14.0, 2.0)	(15.0, 72.0)	(16.0, 633.0)	(17.0, 1680.0)	(18.0, 1911.0)	(19.0, 1974.0)	(20.0, 2414.0)	(21.0, 3076.0)	(22.0, 4169.0)	(23.0, 5464.0)	(24.0, 7117.0)	(25.0, 8596.0)	(26.0, 9871.0)	(27.0, 10639.0)	(28.0, 11353.0)	(29.0, 12011.0)	(30.0, 12453.0)	(31.0, 13279.0)	(32.0, 14068.0)	(33.0, 14681.0)	(34.0, 16668.0)	(35.0, 17643.0)	(36.0, 21983.0)	(37.0, 24729.0)	(38.0, 29184.0)	(39.0, 55637.0)	(40.0, 13633.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	(15.0, 5.0)	(16.0, 117.0)	(17.0, 474.0)	(18.0, 1172.0)	(19.0, 2394.0)	(20.0, 5069.0)	(21.0, 10356.0)	(22.0, 19628.0)	(23.0, 35177.0)	(24.0, 58606.0)	(25.0, 91162.0)	(26.0, 135325.0)	(27.0, 182345.0)	(28.0, 240748.0)	(29.0, 309996.0)	(30.0, 381558.0)	(31.0, 486082.0)	(32.0, 611628.0)	(33.0, 771838.0)	(34.0, 1068584.0)	(35.0, 1442048.0)	(36.0, 2374644.0)	(37.0, 4063738.0)	(38.0, 9795589.0)	(39.0, 68095534.0)	(40.0, 22682573.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	(15.0, 27.0)	(16.0, 279.0)	(17.0, 1024.0)	(18.0, 1573.0)	(19.0, 2154.0)	(20.0, 3333.0)	(21.0, 5248.0)	(22.0, 8114.0)	(23.0, 12155.0)	(24.0, 17129.0)	(25.0, 21923.0)	(26.0, 27047.0)	(27.0, 29527.0)	(28.0, 32403.0)	(29.0, 34160.0)	(30.0, 34923.0)	(31.0, 36623.0)	(32.0, 38386.0)	(33.0, 41155.0)	(34.0, 47418.0)	(35.0, 51355.0)	(36.0, 64827.0)	(37.0, 73687.0)	(38.0, 99798.0)	(39.0, 320908.0)	(40.0, 89865.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	(14.0, 11.0)	(15.0, 322.0)	(16.0, 2473.0)	(17.0, 6123.0)	(18.0, 8358.0)	(19.0, 10560.0)	(20.0, 14827.0)	(21.0, 21312.0)	(22.0, 30907.0)	(23.0, 45611.0)	(24.0, 65226.0)	(25.0, 89631.0)	(26.0, 120758.0)	(27.0, 155329.0)	(28.0, 200967.0)	(29.0, 255676.0)	(30.0, 321625.0)	(31.0, 416921.0)	(32.0, 530437.0)	(33.0, 684377.0)	(34.0, 937224.0)	(35.0, 1255505.0)	(36.0, 2054131.0)	(37.0, 3521143.0)	(38.0, 8946855.0)	(39.0, 68215473.0)	(40.0, 24954608.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	(14.0, 1.0)	(15.0, 64.0)	(16.0, 568.0)	(17.0, 1411.0)	(18.0, 1661.0)	(19.0, 1612.0)	(20.0, 2020.0)	(21.0, 2710.0)	(22.0, 3642.0)	(23.0, 4999.0)	(24.0, 6162.0)	(25.0, 7549.0)	(26.0, 8681.0)	(27.0, 9494.0)	(28.0, 10007.0)	(29.0, 10838.0)	(30.0, 11265.0)	(31.0, 12058.0)	(32.0, 12439.0)	(33.0, 12994.0)	(34.0, 15089.0)	(35.0, 16204.0)	(36.0, 19654.0)	(37.0, 21800.0)	(38.0, 25616.0)	(39.0, 47306.0)	(40.0, 10873.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	(15.0, 7.0)	(16.0, 137.0)	(17.0, 543.0)	(18.0, 1412.0)	(19.0, 2964.0)	(20.0, 6054.0)	(21.0, 11880.0)	(22.0, 22242.0)	(23.0, 39972.0)	(24.0, 66259.0)	(25.0, 102060.0)	(26.0, 149634.0)	(27.0, 199595.0)	(28.0, 262161.0)	(29.0, 334906.0)	(30.0, 409077.0)	(31.0, 518745.0)	(32.0, 649166.0)	(33.0, 812152.0)	(34.0, 1120695.0)	(35.0, 1502172.0)	(36.0, 2466877.0)	(37.0, 4228640.0)	(38.0, 10237997.0)	(39.0, 73024465.0)	(40.0, 24196588.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	(15.0, 41.0)	(16.0, 446.0)	(17.0, 1523.0)	(18.0, 2307.0)	(19.0, 2823.0)	(20.0, 4043.0)	(21.0, 6106.0)	(22.0, 9087.0)	(23.0, 13392.0)	(24.0, 18580.0)	(25.0, 23789.0)	(26.0, 28602.0)	(27.0, 30994.0)	(28.0, 33595.0)	(29.0, 34704.0)	(30.0, 34621.0)	(31.0, 35568.0)	(32.0, 36961.0)	(33.0, 38699.0)	(34.0, 44753.0)	(35.0, 48076.0)	(36.0, 60701.0)	(37.0, 69489.0)	(38.0, 92697.0)	(39.0, 303135.0)	(40.0, 83561.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	(14.0, 11.0)	(15.0, 287.0)	(16.0, 2477.0)	(17.0, 6208.0)	(18.0, 8700.0)	(19.0, 10798.0)	(20.0, 15357.0)	(21.0, 22113.0)	(22.0, 32493.0)	(23.0, 48064.0)	(24.0, 68808.0)	(25.0, 95042.0)	(26.0, 127104.0)	(27.0, 162452.0)	(28.0, 209093.0)	(29.0, 265392.0)	(30.0, 332937.0)	(31.0, 428820.0)	(32.0, 547992.0)	(33.0, 704928.0)	(34.0, 963008.0)	(35.0, 1285404.0)	(36.0, 2086365.0)	(37.0, 3582572.0)	(38.0, 9139152.0)	(39.0, 73101277.0)	(40.0, 27119546.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	(14.0, 2.0)	(15.0, 105.0)	(16.0, 799.0)	(17.0, 1808.0)	(18.0, 2046.0)	(19.0, 2057.0)	(20.0, 2410.0)	(21.0, 3126.0)	(22.0, 4280.0)	(23.0, 5707.0)	(24.0, 7117.0)	(25.0, 8610.0)	(26.0, 9920.0)	(27.0, 10614.0)	(28.0, 11346.0)	(29.0, 11945.0)	(30.0, 12408.0)	(31.0, 13301.0)	(32.0, 13878.0)	(33.0, 14311.0)	(34.0, 15860.0)	(35.0, 17211.0)	(36.0, 21027.0)	(37.0, 23272.0)	(38.0, 27975.0)	(39.0, 48445.0)	(40.0, 10387.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	(14.0, 1.0)	(15.0, 9.0)	(16.0, 108.0)	(17.0, 533.0)	(18.0, 1371.0)	(19.0, 2760.0)	(20.0, 5681.0)	(21.0, 11513.0)	(22.0, 20989.0)	(23.0, 38110.0)	(24.0, 63505.0)	(25.0, 98330.0)	(26.0, 144464.0)	(27.0, 194633.0)	(28.0, 256778.0)	(29.0, 330167.0)	(30.0, 406777.0)	(31.0, 517303.0)	(32.0, 652426.0)	(33.0, 821885.0)	(34.0, 1136756.0)	(35.0, 1530217.0)	(36.0, 2514358.0)	(37.0, 4285434.0)	(38.0, 10167666.0)	(39.0, 71920101.0)	(40.0, 27096882.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	(15.0, 18.0)	(16.0, 370.0)	(17.0, 1315.0)	(18.0, 2105.0)	(19.0, 2670.0)	(20.0, 3902.0)	(21.0, 5797.0)	(22.0, 9131.0)	(23.0, 13581.0)	(24.0, 19055.0)	(25.0, 24745.0)	(26.0, 29964.0)	(27.0, 32562.0)	(28.0, 35397.0)	(29.0, 37262.0)	(30.0, 37638.0)	(31.0, 40221.0)	(32.0, 41866.0)	(33.0, 44292.0)	(34.0, 51732.0)	(35.0, 56413.0)	(36.0, 69683.0)	(37.0, 78295.0)	(38.0, 101005.0)	(39.0, 293191.0)	(40.0, 90333.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	(14.0, 14.0)	(15.0, 340.0)	(16.0, 2401.0)	(17.0, 6338.0)	(18.0, 8943.0)	(19.0, 11308.0)	(20.0, 16056.0)	(21.0, 23256.0)	(22.0, 33808.0)	(23.0, 49373.0)	(24.0, 71104.0)	(25.0, 98042.0)	(26.0, 131399.0)	(27.0, 168911.0)	(28.0, 218696.0)	(29.0, 278123.0)	(30.0, 349730.0)	(31.0, 452031.0)	(32.0, 576447.0)	(33.0, 745582.0)	(34.0, 1024493.0)	(35.0, 1370410.0)	(36.0, 2242829.0)	(37.0, 3842858.0)	(38.0, 9659625.0)	(39.0, 73137707.0)	(40.0, 27698933.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	(14.0, 3.0)	(15.0, 94.0)	(16.0, 715.0)	(17.0, 1750.0)	(18.0, 1982.0)	(19.0, 2004.0)	(20.0, 2282.0)	(21.0, 3117.0)	(22.0, 4000.0)	(23.0, 5304.0)	(24.0, 6849.0)	(25.0, 8350.0)	(26.0, 9708.0)	(27.0, 10224.0)	(28.0, 11098.0)	(29.0, 11583.0)	(30.0, 12111.0)	(31.0, 12883.0)	(32.0, 13667.0)	(33.0, 14295.0)	(34.0, 16088.0)	(35.0, 17186.0)	(36.0, 21075.0)	(37.0, 23391.0)	(38.0, 27102.0)	(39.0, 49231.0)	(40.0, 11133.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	(15.0, 7.0)	(16.0, 128.0)	(17.0, 567.0)	(18.0, 1367.0)	(19.0, 2834.0)	(20.0, 5856.0)	(21.0, 11686.0)	(22.0, 22363.0)	(23.0, 39687.0)	(24.0, 66321.0)	(25.0, 103142.0)	(26.0, 151451.0)	(27.0, 204485.0)	(28.0, 268650.0)	(29.0, 345483.0)	(30.0, 425580.0)	(31.0, 539682.0)	(32.0, 677466.0)	(33.0, 851885.0)	(34.0, 1179301.0)	(35.0, 1591963.0)	(36.0, 2633893.0)	(37.0, 4514838.0)	(38.0, 10867146.0)	(39.0, 72876079.0)	(40.0, 22781476.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	(15.0, 45.0)	(16.0, 462.0)	(17.0, 1661.0)	(18.0, 2407.0)	(19.0, 3036.0)	(20.0, 4344.0)	(21.0, 6494.0)	(22.0, 9902.0)	(23.0, 14447.0)	(24.0, 20235.0)	(25.0, 26177.0)	(26.0, 31630.0)	(27.0, 34839.0)	(28.0, 37017.0)	(29.0, 38878.0)	(30.0, 39337.0)	(31.0, 41998.0)	(32.0, 43683.0)	(33.0, 46390.0)	(34.0, 54770.0)	(35.0, 59424.0)	(36.0, 74429.0)	(37.0, 84584.0)	(38.0, 113701.0)	(39.0, 334898.0)	(40.0, 87279.0)						
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	(14.0, 12.0)	(15.0, 396.0)	(16.0, 2694.0)	(17.0, 6905.0)	(18.0, 9458.0)	(19.0, 12090.0)	(20.0, 16877.0)	(21.0, 24341.0)	(22.0, 35163.0)	(23.0, 52063.0)	(24.0, 73281.0)	(25.0, 100813.0)	(26.0, 135018.0)	(27.0, 172415.0)	(28.0, 221719.0)	(29.0, 280168.0)	(30.0, 350523.0)	(31.0, 452008.0)	(32.0, 577321.0)	(33.0, 744282.0)	(34.0, 1025235.0)	(35.0, 1379861.0)	(36.0, 2279341.0)	(37.0, 3943512.0)	(38.0, 10039815.0)	(39.0, 73835626.0)	(40.0, 24392399.0)					
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	(14.0, 3.0)	(15.0, 130.0)	(16.0, 829.0)	(17.0, 2006.0)	(18.0, 2115.0)	(19.0, 2218.0)	(20.0, 2584.0)	(21.0, 3422.0)	(22.0, 4427.0)	(23.0, 5936.0)	(24.0, 7735.0)	(25.0, 9101.0)	(26.0, 10608.0)	(27.0, 11072.0)	(28.0, 12166.0)	(29.0, 12685.0)	(30.0, 13041.0)	(31.0, 13707.0)	(32.0, 14251.0)	(33.0, 14745.0)	(34.0, 16789.0)	(35.0, 17768.0)	(36.0, 21660.0)	(37.0, 24128.0)	(38.0, 27818.0)	(39.0, 50084.0)	(40.0, 10463.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	(15.0, 4.0)	(16.0, 138.0)	(17.0, 626.0)	(18.0, 1504.0)	(19.0, 3169.0)	(20.0, 6436.0)	(21.0, 12553.0)	(22.0, 23612.0)	(23.0, 41879.0)	(24.0, 68937.0)	(25.0, 105746.0)	(26.0, 154463.0)	(27.0, 207049.0)	(28.0, 270001.0)	(29.0, 343951.0)	(30.0, 421623.0)	(31.0, 533612.0)	(32.0, 667434.0)	(33.0, 835883.0)	(34.0, 1150376.0)	(35.0, 1544137.0)	(36.0, 2526101.0)	(37.0, 4293231.0)	(38.0, 10123872.0)	(39.0, 72510382.0)	(40.0, 28237808.0)						
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	(15.0, 28.0)	(16.0, 408.0)	(17.0, 1478.0)	(18.0, 2351.0)	(19.0, 2847.0)	(20.0, 4115.0)	(21.0, 6334.0)	(22.0, 9615.0)	(23.0, 14113.0)	(24.0, 19571.0)	(25.0, 24844.0)	(26.0, 30095.0)	(27.0, 32882.0)	(28.0, 35368.0)	(29.0, 37730.0)	(30.0, 37857.0)	(31.0, 39886.0)	(32.0, 42519.0)	(33.0, 44544.0)	(34.0, 52157.0)	(35.0, 57743.0)	(36.0, 71662.0)	(37.0, 84023.0)	(38.0, 116582.0)	(39.0, 389021.0)	(40.0, 127141.0)						
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	(14.0, 10.0)	(15.0, 380.0)	(16.0, 2952.0)	(17.0, 7506.0)	(18.0, 9794.0)	(19.0, 12354.0)	(20.0, 16819.0)	(21.0, 23824.0)	(22.0, 34515.0)	(23.0, 50817.0)	(24.0, 72512.0)	(25.0, 100247.0)	(26.0, 133321.0)	(27.0, 171634.0)	(28.0, 220468.0)	(29.0, 281116.0)	(30.0, 352808.0)	(31.0, 455024.0)	(32.0, 577652.0)	(33.0, 742689.0)	(34.0, 1015808.0)	(35.0, 1361344.0)	(36.0, 2208034.0)	(37.0, 3777644.0)	(38.0, 9427403.0)	(39.0, 73311754.0)	(40.0, 29716098.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	(14.0, 1.0)	(15.0, 78.0)	(16.0, 751.0)	(17.0, 1855.0)	(18.0, 2078.0)	(19.0, 2052.0)	(20.0, 2445.0)	(21.0, 3191.0)	(22.0, 4339.0)	(23.0, 5697.0)	(24.0, 7367.0)	(25.0, 8630.0)	(26.0, 10253.0)	(27.0, 10767.0)	(28.0, 11671.0)	(29.0, 12297.0)	(30.0, 12778.0)	(31.0, 13589.0)	(32.0, 14450.0)	(33.0, 15014.0)	(34.0, 16924.0)	(35.0, 18048.0)	(36.0, 22300.0)	(37.0, 25198.0)	(38.0, 29501.0)	(39.0, 53204.0)	(40.0, 12918.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	(15.0, 8.0)	(16.0, 97.0)	(17.0, 503.0)	(18.0, 1252.0)	(19.0, 2541.0)	(20.0, 5517.0)	(21.0, 11185.0)	(22.0, 20989.0)	(23.0, 38212.0)	(24.0, 63561.0)	(25.0, 99846.0)	(26.0, 146830.0)	(27.0, 199556.0)	(28.0, 264262.0)	(29.0, 339141.0)	(30.0, 418652.0)	(31.0, 534989.0)	(32.0, 673637.0)	(33.0, 849343.0)	(34.0, 1181748.0)	(35.0, 1604142.0)	(36.0, 2672887.0)	(37.0, 4619210.0)	(38.0, 11352171.0)	(39.0, 75347275.0)	(40.0, 22004153.0)						
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	(14.0, 1.0)	(15.0, 34.0)	(16.0, 394.0)	(17.0, 1254.0)	(18.0, 2004.0)	(19.0, 2782.0)	(20.0, 4080.0)	(21.0, 6405.0)	(22.0, 9885.0)	(23.0, 14489.0)	(24.0, 20529.0)	(25.0, 26632.0)	(26.0, 32225.0)	(27.0, 36036.0)	(28.0, 38897.0)	(29.0, 40517.0)	(30.0, 40973.0)	(31.0, 43313.0)	(32.0, 45488.0)	(33.0, 49006.0)	(34.0, 56976.0)	(35.0, 62939.0)	(36.0, 79707.0)	(37.0, 91748.0)	(38.0, 118618.0)	(39.0, 357253.0)	(40.0, 88353.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	(13.0, 1.0)	(14.0, 8.0)	(15.0, 371.0)	(16.0, 2927.0)	(17.0, 7346.0)	(18.0, 10269.0)	(19.0, 12947.0)	(20.0, 17924.0)	(21.0, 25875.0)	(22.0, 36586.0)	(23.0, 54208.0)	(24.0, 76032.0)	(25.0, 104560.0)	(26.0, 138819.0)	(27.0, 176451.0)	(28.0, 226216.0)	(29.0, 287223.0)	(30.0, 357877.0)	(31.0, 462275.0)	(32.0, 590024.0)	(33.0, 761090.0)	(34.0, 1052887.0)	(35.0, 1422078.0)	(36.0, 2357135.0)	(37.0, 4113942.0)	(38.0, 10732469.0)	(39.0, 76353546.0)	(40.0, 23070621.0)				
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	(14.0, 7.0)	(15.0, 102.0)	(16.0, 787.0)	(17.0, 1774.0)	(18.0, 2038.0)	(19.0, 2138.0)	(20.0, 2542.0)	(21.0, 3325.0)	(22.0, 4357.0)	(23.0, 5838.0)	(24.0, 7408.0)	(25.0, 8815.0)	(26.0, 10012.0)	(27.0, 10832.0)	(28.0, 11509.0)	(29.0, 12350.0)	(30.0, 12786.0)	(31.0, 13458.0)	(32.0, 13777.0)	(33.0, 14356.0)	(34.0, 16180.0)	(35.0, 17273.0)	(36.0, 21137.0)	(37.0, 23118.0)	(38.0, 26328.0)	(39.0, 46704.0)	(40.0, 9156.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	(15.0, 8.0)	(16.0, 127.0)	(17.0, 621.0)	(18.0, 1557.0)	(19.0, 3088.0)	(20.0, 6191.0)	(21.0, 12087.0)	(22.0, 22329.0)	(23.0, 39061.0)	(24.0, 64420.0)	(25.0, 97676.0)	(26.0, 140734.0)	(27.0, 186943.0)	(28.0, 242671.0)	(29.0, 309093.0)	(30.0, 379400.0)	(31.0, 477191.0)	(32.0, 598616.0)	(33.0, 747489.0)	(34.0, 1019703.0)	(35.0, 1361041.0)	(36.0, 2201822.0)	(37.0, 3720705.0)	(38.0, 8704890.0)	(39.0, 63435415.0)	(40.0, 25934492.0)						
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	(14.0, 1.0)	(15.0, 40.0)	(16.0, 405.0)	(17.0, 1541.0)	(18.0, 2370.0)	(19.0, 2977.0)	(20.0, 4002.0)	(21.0, 6008.0)	(22.0, 8973.0)	(23.0, 12980.0)	(24.0, 17988.0)	(25.0, 22606.0)	(26.0, 26845.0)	(27.0, 29560.0)	(28.0, 31794.0)	(29.0, 33439.0)	(30.0, 33103.0)	(31.0, 35844.0)	(32.0, 37446.0)	(33.0, 39576.0)	(34.0, 45731.0)	(35.0, 49562.0)	(36.0, 62815.0)	(37.0, 72599.0)	(38.0, 98174.0)	(39.0, 331210.0)	(40.0, 114100.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	(14.0, 13.0)	(15.0, 345.0)	(16.0, 2730.0)	(17.0, 6617.0)	(18.0, 8729.0)	(19.0, 10807.0)	(20.0, 14918.0)	(21.0, 21556.0)	(22.0, 31156.0)	(23.0, 45258.0)	(24.0, 65102.0)	(25.0, 89071.0)	(26.0, 119051.0)	(27.0, 152207.0)	(28.0, 197389.0)	(29.0, 250953.0)	(30.0, 315971.0)	(31.0, 409757.0)	(32.0, 520234.0)	(33.0, 673007.0)	(34.0, 914664.0)	(35.0, 1218867.0)	(36.0, 1959772.0)	(37.0, 3311790.0)	(38.0, 8180190.0)	(39.0, 64230531.0)	(40.0, 26956685.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	(14.0, 3.0)	(15.0, 103.0)	(16.0, 724.0)	(17.0, 1785.0)	(18.0, 1994.0)	(19.0, 1971.0)	(20.0, 2414.0)	(21.0, 2937.0)	(22.0, 3939.0)	(23.0, 5390.0)	(24.0, 6799.0)	(25.0, 8311.0)	(26.0, 9289.0)	(27.0, 10156.0)	(28.0, 10890.0)	(29.0, 11597.0)	(30.0, 11929.0)	(31.0, 12854.0)	(32.0, 13509.0)	(33.0, 13912.0)	(34.0, 15839.0)	(35.0, 16806.0)	(36.0, 20445.0)	(37.0, 22763.0)	(38.0, 26395.0)	(39.0, 46554.0)	(40.0, 11194.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	(14.0, 1.0)	(15.0, 4.0)	(16.0, 138.0)	(17.0, 586.0)	(18.0, 1473.0)	(19.0, 2902.0)	(20.0, 5974.0)	(21.0, 11877.0)	(22.0, 22056.0)	(23.0, 39567.0)	(24.0, 65714.0)	(25.0, 101358.0)	(26.0, 148534.0)	(27.0, 199407.0)	(28.0, 262369.0)	(29.0, 336231.0)	(30.0, 413963.0)	(31.0, 525876.0)	(32.0, 665860.0)	(33.0, 835438.0)	(34.0, 1155334.0)	(35.0, 1558962.0)	(36.0, 2565394.0)	(37.0, 4371529.0)	(38.0, 10339210.0)	(39.0, 70666962.0)	(40.0, 25046680.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	(15.0, 43.0)	(16.0, 495.0)	(17.0, 1789.0)	(18.0, 2599.0)	(19.0, 3201.0)	(20.0, 4242.0)	(21.0, 6295.0)	(22.0, 9298.0)	(23.0, 14187.0)	(24.0, 19151.0)	(25.0, 24688.0)	(26.0, 29723.0)	(27.0, 33365.0)	(28.0, 36387.0)	(29.0, 38478.0)	(30.0, 39851.0)	(31.0, 42295.0)	(32.0, 46207.0)	(33.0, 50732.0)	(34.0, 60193.0)	(35.0, 66917.0)	(36.0, 84924.0)	(37.0, 94903.0)	(38.0, 114307.0)	(39.0, 281119.0)	(40.0, 78680.0)						
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	(14.0, 8.0)	(15.0, 345.0)	(16.0, 2574.0)	(17.0, 6623.0)	(18.0, 9140.0)	(19.0, 11787.0)	(20.0, 17049.0)	(21.0, 23738.0)	(22.0, 34435.0)	(23.0, 50499.0)	(24.0, 71284.0)	(25.0, 98160.0)	(26.0, 132367.0)	(27.0, 168900.0)	(28.0, 217322.0)	(29.0, 275771.0)	(30.0, 346168.0)	(31.0, 449064.0)	(32.0, 570670.0)	(33.0, 740582.0)	(34.0, 1018325.0)	(35.0, 1377200.0)	(36.0, 2263902.0)	(37.0, 3890022.0)	(38.0, 9683281.0)	(39.0, 71104535.0)	(40.0, 26779648.0)					
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	(14.0, 1.0)	(15.0, 97.0)	(16.0, 808.0)	(17.0, 1942.0)	(18.0, 2233.0)	(19.0, 2304.0)	(20.0, 2611.0)	(21.0, 3410.0)	(22.0, 4549.0)	(23.0, 5806.0)	(24.0, 7556.0)	(25.0, 8797.0)	(26.0, 10277.0)	(27.0, 11044.0)	(28.0, 11812.0)	(29.0, 12406.0)	(30.0, 12939.0)	(31.0, 13625.0)	(32.0, 14555.0)	(33.0, 14895.0)	(34.0, 16852.0)	(35.0, 18264.0)	(36.0, 22375.0)	(37.0, 24709.0)	(38.0, 28444.0)	(39.0, 48914.0)	(40.0, 10731.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	(15.0, 6.0)	(16.0, 160.0)	(17.0, 725.0)	(18.0, 1790.0)	(19.0, 3613.0)	(20.0, 7497.0)	(21.0, 15019.0)	(22.0, 28549.0)	(23.0, 50983.0)	(24.0, 83939.0)	(25.0, 130391.0)	(26.0, 190693.0)	(27.0, 257804.0)	(28.0, 338772.0)	(29.0, 434143.0)	(30.0, 532332.0)	(31.0, 675883.0)	(32.0, 849007.0)	(33.0, 1066931.0)	(34.0, 1471920.0)	(35.0, 1979138.0)	(36.0, 3269354.0)	(37.0, 5580824.0)	(38.0, 13426825.0)	(39.0, 93758664.0)	(40.0, 31821575.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	(15.0, 34.0)	(16.0, 494.0)	(17.0, 1807.0)	(18.0, 2730.0)	(19.0, 3415.0)	(20.0, 4766.0)	(21.0, 7101.0)	(22.0, 11018.0)	(23.0, 16370.0)	(24.0, 23034.0)	(25.0, 29184.0)	(26.0, 35349.0)	(27.0, 39199.0)	(28.0, 42181.0)	(29.0, 44418.0)	(30.0, 45165.0)	(31.0, 47552.0)	(32.0, 50597.0)	(33.0, 53947.0)	(34.0, 62659.0)	(35.0, 68959.0)	(36.0, 88738.0)	(37.0, 104258.0)	(38.0, 148821.0)	(39.0, 521842.0)	(40.0, 152853.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	(13.0, 1.0)	(14.0, 16.0)	(15.0, 533.0)	(16.0, 3929.0)	(17.0, 9645.0)	(18.0, 12759.0)	(19.0, 15887.0)	(20.0, 21795.0)	(21.0, 30744.0)	(22.0, 44305.0)	(23.0, 64665.0)	(24.0, 91176.0)	(25.0, 124454.0)	(26.0, 166219.0)	(27.0, 212102.0)	(28.0, 273267.0)	(29.0, 347318.0)	(30.0, 433854.0)	(31.0, 561004.0)	(32.0, 713948.0)	(33.0, 917560.0)	(34.0, 1252201.0)	(35.0, 1674247.0)	(36.0, 2720947.0)	(37.0, 4674393.0)	(38.0, 11926951.0)	(39.0, 93983935.0)	(40.0, 35698682.0)				
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	(14.0, 2.0)	(15.0, 118.0)	(16.0, 881.0)	(17.0, 2076.0)	(18.0, 2449.0)	(19.0, 2537.0)	(20.0, 3055.0)	(21.0, 3935.0)	(22.0, 5345.0)	(23.0, 7180.0)	(24.0, 8963.0)	(25.0, 10800.0)	(26.0, 12439.0)	(27.0, 13460.0)	(28.0, 14386.0)	(29.0, 15146.0)	(30.0, 15615.0)	(31.0, 16715.0)	(32.0, 17801.0)	(33.0, 18358.0)	(34.0, 20747.0)	(35.0, 22041.0)	(36.0, 27668.0)	(37.0, 31046.0)	(38.0, 36514.0)	(39.0, 67183.0)	(40.0, 15521.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	(15.0, 11.0)	(16.0, 123.0)	(17.0, 647.0)	(18.0, 1567.0)	(19.0, 3273.0)	(20.0, 6858.0)	(21.0, 13748.0)	(22.0, 25943.0)	(23.0, 46203.0)	(24.0, 76719.0)	(25.0, 119831.0)	(26.0, 177131.0)	(27.0, 236499.0)	(28.0, 311452.0)	(29.0, 398927.0)	(30.0, 489691.0)	(31.0, 620152.0)	(32.0, 779898.0)	(33.0, 977132.0)	(34.0, 1349251.0)	(35.0, 1814692.0)	(36.0, 2982368.0)	(37.0, 5094955.0)	(38.0, 12276045.0)	(39.0, 86297502.0)	(40.0, 29040078.0)						
