Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	(11.0, 1.0)	(12.0, 29.0)	(13.0, 1057.0)	(14.0, 9721.0)	(15.0, 26900.0)	(16.0, 32423.0)	(17.0, 35783.0)	(18.0, 50363.0)	(19.0, 70191.0)	(20.0, 91933.0)	(21.0, 111780.0)	(22.0, 136037.0)	(23.0, 162151.0)	(24.0, 187795.0)	(25.0, 224543.0)	(26.0, 266084.0)	(27.0, 306630.0)	(28.0, 359598.0)	(29.0, 421428.0)	(30.0, 480446.0)	(31.0, 583717.0)	(32.0, 707219.0)	(33.0, 858013.0)	(34.0, 1165575.0)	(35.0, 1535839.0)	(36.0, 2550857.0)	(37.0, 4319823.0)	(38.0, 10343844.0)	(39.0, 70843666.0)	(40.0, 25088300.0)		
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	(9.0, 1.0)	(10.0, 134.0)	(11.0, 1541.0)	(12.0, 7608.0)	(13.0, 36866.0)	(14.0, 117303.0)	(15.0, 162176.0)	(16.0, 144784.0)	(17.0, 122320.0)	(18.0, 117784.0)	(19.0, 127773.0)	(20.0, 140051.0)	(21.0, 153270.0)	(22.0, 170878.0)	(23.0, 190877.0)	(24.0, 211169.0)	(25.0, 238210.0)	(26.0, 269037.0)	(27.0, 297452.0)	(28.0, 336870.0)	(29.0, 380741.0)	(30.0, 430475.0)	(31.0, 510877.0)	(32.0, 597689.0)	(33.0, 739654.0)	(34.0, 975319.0)	(35.0, 1287957.0)	(36.0, 2149385.0)	(37.0, 3714377.0)	(38.0, 9575295.0)	(39.0, 71030669.0)	(40.0, 26733204.0)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	(12.0, 28.0)	(13.0, 1010.0)	(14.0, 9625.0)	(15.0, 27167.0)	(16.0, 34459.0)	(17.0, 41574.0)	(18.0, 60997.0)	(19.0, 88497.0)	(20.0, 115777.0)	(21.0, 142899.0)	(22.0, 172992.0)	(23.0, 206259.0)	(24.0, 239896.0)	(25.0, 286330.0)	(26.0, 340482.0)	(27.0, 391730.0)	(28.0, 459653.0)	(29.0, 540296.0)	(30.0, 612643.0)	(31.0, 744233.0)	(32.0, 893423.0)	(33.0, 1084303.0)	(34.0, 1468713.0)	(35.0, 1930936.0)	(36.0, 3224299.0)	(37.0, 5494742.0)	(38.0, 13439516.0)	(39.0, 94144591.0)	(40.0, 31927416.0)			
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	(10.0, 149.0)	(11.0, 1260.0)	(12.0, 7989.0)	(13.0, 58089.0)	(14.0, 206728.0)	(15.0, 263015.0)	(16.0, 208753.0)	(17.0, 166220.0)	(18.0, 155091.0)	(19.0, 165249.0)	(20.0, 180583.0)	(21.0, 196110.0)	(22.0, 218581.0)	(23.0, 243695.0)	(24.0, 269381.0)	(25.0, 304095.0)	(26.0, 340767.0)	(27.0, 377813.0)	(28.0, 425477.0)	(29.0, 477775.0)	(30.0, 534523.0)	(31.0, 631483.0)	(32.0, 735740.0)	(33.0, 898838.0)	(34.0, 1177946.0)	(35.0, 1545336.0)	(36.0, 2562895.0)	(37.0, 4448213.0)	(38.0, 11788099.0)	(39.0, 93894533.0)	(40.0, 35640060.0)	
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	(12.0, 28.0)	(13.0, 904.0)	(14.0, 8016.0)	(15.0, 23257.0)	(16.0, 30177.0)	(17.0, 38089.0)	(18.0, 57275.0)	(19.0, 83313.0)	(20.0, 108770.0)	(21.0, 133925.0)	(22.0, 161890.0)	(23.0, 193160.0)	(24.0, 225345.0)	(25.0, 268202.0)	(26.0, 319849.0)	(27.0, 364891.0)	(28.0, 428062.0)	(29.0, 501829.0)	(30.0, 568282.0)	(31.0, 687120.0)	(32.0, 825131.0)	(33.0, 995254.0)	(34.0, 1346631.0)	(35.0, 1771726.0)	(36.0, 2940079.0)	(37.0, 5010688.0)	(38.0, 12268021.0)	(39.0, 86577823.0)	(40.0, 29114080.0)			
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	(9.0, 5.0)	(10.0, 138.0)	(11.0, 1328.0)	(12.0, 7267.0)	(13.0, 47004.0)	(14.0, 155399.0)	(15.0, 204240.0)	(16.0, 175586.0)	(17.0, 146551.0)	(18.0, 140396.0)	(19.0, 151720.0)	(20.0, 166432.0)	(21.0, 183294.0)	(22.0, 205330.0)	(23.0, 230533.0)	(24.0, 255442.0)	(25.0, 290296.0)	(26.0, 327092.0)	(27.0, 361872.0)	(28.0, 408739.0)	(29.0, 461943.0)	(30.0, 519049.0)	(31.0, 611030.0)	(32.0, 713839.0)	(33.0, 874944.0)	(34.0, 1148139.0)	(35.0, 1508573.0)	(36.0, 2513306.0)	(37.0, 4339154.0)	(38.0, 11433795.0)	(39.0, 87516771.0)	(40.0, 29952610.0)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	(12.0, 54.0)	(13.0, 1722.0)	(14.0, 15529.0)	(15.0, 43901.0)	(16.0, 53767.0)	(17.0, 58276.0)	(18.0, 79399.0)	(19.0, 111237.0)	(20.0, 144562.0)	(21.0, 175214.0)	(22.0, 210744.0)	(23.0, 250445.0)	(24.0, 289392.0)	(25.0, 341520.0)	(26.0, 404101.0)	(27.0, 459398.0)	(28.0, 534263.0)	(29.0, 622087.0)	(30.0, 704208.0)	(31.0, 844901.0)	(32.0, 1005244.0)	(33.0, 1214453.0)	(34.0, 1638010.0)	(35.0, 2140980.0)	(36.0, 3523899.0)	(37.0, 5940259.0)	(38.0, 14038163.0)	(39.0, 101371458.0)	(40.0, 42474853.0)			
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	(9.0, 4.0)	(10.0, 105.0)	(11.0, 1304.0)	(12.0, 7510.0)	(13.0, 49581.0)	(14.0, 170882.0)	(15.0, 234566.0)	(16.0, 204479.0)	(17.0, 169435.0)	(18.0, 163091.0)	(19.0, 177419.0)	(20.0, 198862.0)	(21.0, 218759.0)	(22.0, 246889.0)	(23.0, 278105.0)	(24.0, 309110.0)	(25.0, 349475.0)	(26.0, 393677.0)	(27.0, 436320.0)	(28.0, 491440.0)	(29.0, 554620.0)	(30.0, 623211.0)	(31.0, 732016.0)	(32.0, 856693.0)	(33.0, 1045997.0)	(34.0, 1374348.0)	(35.0, 1800023.0)	(36.0, 2971170.0)	(37.0, 5097819.0)	(38.0, 13096448.0)	(39.0, 103067293.0)	(40.0, 43371388.0)
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	(11.0, 1.0)	(12.0, 53.0)	(13.0, 1985.0)	(14.0, 19117.0)	(15.0, 52448.0)	(16.0, 58234.0)	(17.0, 55400.0)	(18.0, 71878.0)	(19.0, 99086.0)	(20.0, 128316.0)	(21.0, 156439.0)	(22.0, 189388.0)	(23.0, 224164.0)	(24.0, 260900.0)	(25.0, 311246.0)	(26.0, 369120.0)	(27.0, 423163.0)	(28.0, 496087.0)	(29.0, 583691.0)	(30.0, 662090.0)	(31.0, 807838.0)	(32.0, 968552.0)	(33.0, 1186210.0)	(34.0, 1617979.0)	(35.0, 2125329.0)	(36.0, 3522125.0)	(37.0, 5944794.0)	(38.0, 14117015.0)	(39.0, 95764422.0)	(40.0, 33656782.0)		
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	(9.0, 3.0)	(10.0, 193.0)	(11.0, 1888.0)	(12.0, 11069.0)	(13.0, 70799.0)	(14.0, 237150.0)	(15.0, 305772.0)	(16.0, 243877.0)	(17.0, 190739.0)	(18.0, 174341.0)	(19.0, 183650.0)	(20.0, 200356.0)	(21.0, 217399.0)	(22.0, 242969.0)	(23.0, 270662.0)	(24.0, 299138.0)	(25.0, 338535.0)	(26.0, 382156.0)	(27.0, 421478.0)	(28.0, 476958.0)	(29.0, 539257.0)	(30.0, 608136.0)	(31.0, 721613.0)	(32.0, 845393.0)	(33.0, 1042470.0)	(34.0, 1380210.0)	(35.0, 1812132.0)	(36.0, 3010937.0)	(37.0, 5171708.0)	(38.0, 13307736.0)	(39.0, 97769502.0)	(40.0, 33395626.0)
