Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired - illumina_universal_adapter	(1, 5.027508894731581e-06)	(2, 6.703345192975441e-06)	(3, 1.0055017789463161e-05)	(4, 1.3406690385950882e-05)	(5, 1.927211742980439e-05)	(6, 2.8489217070145622e-05)	(7, 3.3516725964877204e-05)	(8, 4.440966190346229e-05)	(9, 5.4464679692925456e-05)	(10, 0.00012300638429109934)	(15, 0.00039465944823642904)	(20, 0.0009682982131253024)	(25, 0.0019629070561330334)	(30, 0.003496967603545463)	(35, 0.005503278819803012)	(40, 0.007920002345500481)	(45, 0.01060134042269066)	(50, 0.013620359513976974)	(55, 0.016992309729673447)	(60, 0.02066524014453451)	(65, 0.02459608176569531)	(70, 0.028710595045143637)	(75, 0.0329998980504988)	(80, 0.03744974617322572)	(85, 0.04220928884386811)	(90, 0.047061170094543726)	(95, 0.051944892234885985)	(100, 0.05694005748906146)	(105, 0.06199672593538248)	(110, 0.06712444984074904)	(115, 0.07228602563934014)	(120, 0.0776528913844661)	(125, 0.08320342878787959)	(130, 0.0892736430273785)	(135, 0.09590291625597157)	(140, 0.10028371992321083)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.411160548282449e-05)	(15, 0.0017310133480362617)	(20, 0.008398620318250009)	(25, 0.0382105168677634)	(30, 0.08982035928143711)	(35, 0.1454692328405288)	(40, 0.19957942786803268)	(45, 0.241828975881214)	(50, 0.2596520022054392)	(55, 0.2694610778443114)	(60, 0.27766736334611297)	(65, 0.2838220774724641)	(70, 0.2906820192591263)	(75, 0.3009398761363782)	(80, 0.3069022554462809)	(85, 0.31222351870135534)	(90, 0.31703188911256713)	(95, 0.322930156816987)	(100, 0.32921309415430383)	(105, 0.33395735296003287)	(110, 0.34056084832476374)	(115, 0.344471656259216)	(120, 0.3485747990101168)	(125, 0.354344843503571)	(130, 0.3583197630435061)	(135, 0.36421803074792597)	(140, 0.3692828475810691)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired - illumina_universal_adapter	(1, 9.6168310237584e-06)	(2, 1.089907516025952e-05)	(3, 1.4745807569762881e-05)	(4, 1.731029584276512e-05)	(5, 2.308039445702016e-05)	(6, 2.756824893477408e-05)	(7, 3.654395789028192e-05)	(8, 4.359630064103808e-05)	(9, 5.7700986142550404e-05)	(10, 0.0001269421695136109)	(15, 0.00041108747016225904)	(20, 0.0010338734472608532)	(25, 0.0021178826402589003)	(30, 0.0036346492293260744)	(35, 0.005636232326404323)	(40, 0.008054160094604485)	(45, 0.01085355549341373)	(50, 0.014057755366116378)	(55, 0.01743300660662828)	(60, 0.021070220324227357)	(65, 0.02488733289417754)	(70, 0.02899948983993663)	(75, 0.03329064806715128)	(80, 0.03779273545482036)	(85, 0.04242548351999891)	(90, 0.04714914269445539)	(95, 0.05196845728149485)	(100, 0.05688919737973154)	(105, 0.06183276142359795)	(110, 0.06688916295147648)	(115, 0.07213623418245271)	(120, 0.0776887359667435)	(125, 0.08350704696053099)	(130, 0.08971054409292342)	(135, 0.09656631881755395)	(140, 0.10093184720468566)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005612516933218702)	(15, 0.0015817093175434526)	(20, 0.00908207285557208)	(25, 0.04092035073128544)	(30, 0.09980075564887074)	(35, 0.1614363961518543)	(40, 0.22169441886213873)	(45, 0.26562511958487783)	(50, 0.2877690500304862)	(55, 0.29812669491633526)	(60, 0.3071067220094852)	(65, 0.31669902367716807)	(70, 0.32470961602730747)	(75, 0.3308323617726369)	(80, 0.3357815812501116)	(85, 0.34185330411423004)	(90, 0.34777195833471525)	(95, 0.35256810916855663)	(100, 0.3562927794969654)	(105, 0.3613950676180734)	(110, 0.36527280659011535)	(115, 0.3714465752166559)	(120, 0.3790489845171067)	(125, 0.38471252433153647)	(130, 0.3895086751653779)	(135, 0.39486607769254123)	(140, 0.39772335904036166)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired - illumina_universal_adapter	(1, 5.588906735510074e-06)	(2, 8.383360103265113e-06)	(3, 1.3273653496836428e-05)	(4, 1.6068106864591465e-05)	(5, 1.8163946890407743e-05)	(6, 2.2355626942040297e-05)	(7, 2.6547306993672855e-05)	(8, 3.353344041306045e-05)	(9, 5.099877396152943e-05)	(10, 0.00013217764429481325)	(15, 0.00044459753080982646)	(20, 0.0010761439919224648)	(25, 0.002173525829439868)	(30, 0.003742192227429158)	(35, 0.005792063495345866)	(40, 0.0082865322940724)	(45, 0.011166356212212354)	(50, 0.014416165756243073)	(55, 0.017956179282515156)	(60, 0.02166246278416866)	(65, 0.02556128412286049)	(70, 0.02961966874885113)	(75, 0.03389937408156797)	(80, 0.03832802377878615)	(85, 0.0428392495730215)	(90, 0.04744618539510246)	(95, 0.05210495832715526)	(100, 0.05678762383550238)	(105, 0.06156110907830152)	(110, 0.0663195042729148)	(115, 0.07130900076104144)	(120, 0.07659009845809328)	(125, 0.0822083469539648)	(130, 0.0886364280358117)	(135, 0.09633710318133426)	(140, 0.10158327021128918)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0005606261072365618)	(2, 0.0005606261072365618)	(3, 0.0005606261072365618)	(4, 0.0005606261072365618)	(5, 0.0005606261072365618)	(6, 0.0005606261072365618)	(7, 0.0005606261072365618)	(8, 0.0005606261072365618)	(9, 0.0008409391608548426)	(10, 0.000953064382302155)	(15, 0.002466754871840872)	(20, 0.009810956876639831)	(25, 0.03963626578162492)	(30, 0.09345637207633486)	(35, 0.16678626690287715)	(40, 0.2334447110533043)	(45, 0.28036911622900457)	(50, 0.3032987240149799)	(55, 0.31148386518063376)	(60, 0.32359338909694346)	(65, 0.33334828336285965)	(70, 0.3402439844818693)	(75, 0.34820487520462856)	(80, 0.35453995021640167)	(85, 0.36048258695310925)	(90, 0.36614491063619853)	(95, 0.37006929338685446)	(100, 0.37533917879487816)	(105, 0.3802166259278362)	(110, 0.3863274504967147)	(115, 0.3925504002870405)	(120, 0.39591415693045995)	(125, 0.4009037292848653)	(130, 0.40757517996098047)	(135, 0.413349628865517)	(140, 0.41710582378400196)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired - illumina_universal_adapter	(1, 6.80215119618748e-06)	(2, 1.0203226794281221e-05)	(3, 1.4171148325390583e-05)	(4, 1.643853205745308e-05)	(5, 1.983960765554682e-05)	(6, 2.324068325364056e-05)	(7, 3.231021818189053e-05)	(8, 3.7411831579031145e-05)	(9, 4.648136650728112e-05)	(10, 0.00011869753837347153)	(15, 0.0004100563479435019)	(20, 0.0010032039322510503)	(25, 0.001976931875985288)	(30, 0.0033401963448878623)	(35, 0.005050030417236189)	(40, 0.007147360369393996)	(45, 0.009522671567102663)	(50, 0.012151816373615728)	(55, 0.01500112414051206)	(60, 0.018140997132672202)	(65, 0.021604312414211055)	(70, 0.025316586429530375)	(75, 0.02926070043145308)	(80, 0.03344402341710838)	(85, 0.03778640337156787)	(90, 0.04228092477444874)	(95, 0.046888588625559544)	(100, 0.05161245589293854)	(105, 0.05651034486175334)	(110, 0.061660253532386876)	(115, 0.06711149750101152)	(120, 0.07308151886753207)	(125, 0.07980975335405431)	(130, 0.08755581639789942)	(135, 0.09676944356232195)	(140, 0.10314158543372379)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired - illumina_universal_adapter	(1, 7.935843062218728e-06)	(2, 1.0203226794281221e-05)	(3, 1.3037456459359338e-05)	(4, 1.7572223923484326e-05)	(5, 2.2106991387609313e-05)	(6, 2.5508066985703053e-05)	(7, 3.344391004792178e-05)	(8, 3.7978677512046765e-05)	(9, 4.648136650728112e-05)	(10, 0.00011847080000026529)	(15, 0.000412777208421977)	(20, 0.0010272381998109128)	(25, 0.0021082133940717065)	(30, 0.003672027954075208)	(35, 0.005738748225850171)	(40, 0.008263139903941947)	(45, 0.011150312979163727)	(50, 0.014385189349697283)	(55, 0.017878093988939556)	(60, 0.021554883448852095)	(65, 0.02550092472694705)	(70, 0.029620534229731398)	(75, 0.03389579962572183)	(80, 0.038361751993578726)	(85, 0.042938125949187056)	(90, 0.047698271356279055)	(95, 0.0525217901386822)	(100, 0.0574633262443392)	(105, 0.06250780157143185)	(110, 0.06784352233890789)	(115, 0.07351889718944692)	(120, 0.07965511778352764)	(125, 0.08646123690124623)	(130, 0.09432429694566576)	(135, 0.10368972545094987)	(140, 0.11015346962512704)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired - illumina_universal_adapter	(1, 0.0002116827721975847)	(2, 0.0004233655443951694)	(3, 0.0004233655443951694)	(4, 0.0004233655443951694)	(5, 0.0004233655443951694)	(6, 0.0004233655443951694)	(7, 0.0006350483165927541)	(8, 0.0006350483165927541)	(9, 0.0006350483165927541)	(10, 0.0008043945343508219)	(15, 0.0029635588107661858)	(20, 0.010118436511044548)	(25, 0.04153215990516612)	(30, 0.0884410622241509)	(35, 0.15351234639768843)	(40, 0.21612811041373398)	(45, 0.2664662736423196)	(50, 0.28826959917867084)	(55, 0.29572083276002586)	(60, 0.3037647781035341)	(65, 0.31159704067484467)	(70, 0.3193022935828368)	(75, 0.3261608154020385)	(80, 0.3332733565478774)	(85, 0.33920047416940974)	(90, 0.3443231972565913)	(95, 0.3502079783236841)	(100, 0.35744752913284156)	(105, 0.3618928673489908)	(110, 0.367311946317249)	(115, 0.37218065007779344)	(120, 0.3781501042537653)	(125, 0.3848816164096485)	(130, 0.39097808024893893)	(135, 0.3977095924048221)	(140, 0.403679046580794)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired - illumina_universal_adapter	(1, 3.7191912425245185e-06)	(2, 8.058247692136456e-06)	(3, 1.0537708520486136e-05)	(4, 1.3017169348835815e-05)	(5, 1.6736360591360333e-05)	(6, 2.2935012662234532e-05)	(7, 3.161312556145841e-05)	(8, 3.8431642839420027e-05)	(9, 4.5870025324469064e-05)	(10, 0.0001105839529443957)	(15, 0.00038840753876097725)	(20, 0.001008024799765562)	(25, 0.0020888217748431873)	(30, 0.0036260874884199885)	(35, 0.005660857017205153)	(40, 0.008169327537246522)	(45, 0.010998144396310671)	(50, 0.014205450950822398)	(55, 0.01773198808698415)	(60, 0.02154019197324642)	(65, 0.025539438316333034)	(70, 0.02977014232774609)	(75, 0.03422003067638526)	(80, 0.03889604585256992)	(85, 0.04370359642569853)	(90, 0.04857375338474297)	(95, 0.053589082775287275)	(100, 0.058721070797805454)	(105, 0.06389186238228729)	(110, 0.06906848069971575)	(115, 0.07455800697368194)	(120, 0.08017696110288798)	(125, 0.08616647065289088)	(130, 0.0926645176187883)	(135, 0.09981292715996185)	(140, 0.10442993116843179)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired - illumina_universal_adapter	(1, 0.00046560353858689327)	(2, 0.00046560353858689327)	(3, 0.00046560353858689327)	(4, 0.00046560353858689327)	(5, 0.00046560353858689327)	(6, 0.00046560353858689327)	(7, 0.00046560353858689327)	(8, 0.00046560353858689327)	(9, 0.00046560353858689327)	(10, 0.0005121638924455825)	(15, 0.0015364916773367477)	(20, 0.010289838202770341)	(25, 0.04325456873472239)	(30, 0.10108252822721453)	(35, 0.16803631707600977)	(40, 0.2326155278780119)	(45, 0.2738214410429519)	(50, 0.29426143638691654)	(55, 0.3024560586660458)	(60, 0.31079036200675125)	(65, 0.32056803631707603)	(70, 0.328064253288325)	(75, 0.33565359096729136)	(80, 0.34254452333837737)	(85, 0.3473402397858224)	(90, 0.35558142241881036)	(95, 0.3615877080665813)	(100, 0.365824700267722)	(105, 0.37024793388429755)	(110, 0.375276452101036)	(115, 0.38025840996391574)	(120, 0.3846350832266325)	(125, 0.38929111861250143)	(130, 0.39576300779885926)	(135, 0.4015830520311954)	(140, 0.40414387149342335)
