Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	(1.0, 95.73767412870008)	(2.0, 1.5868745933632717)	(3.0, 0.5453444160471114)	(4.0, 0.2635879252727917)	(5.0, 0.14271712754281587)	(6.0, 0.09563331088755642)	(7.0, 0.04219128334664748)	(8.0, 0.024461489081148906)	(9.0, 0.022694766981069647)	('>10', 0.1111355091595456)	('>50', 0.030957563823232795)	('>100', 0.1465840647030073)	('>500', 0.0636177936567434)	('>1k', 1.1865260274349552)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	(1.0, 86.30858881617075)	(2.0, 6.985052278682483)	(3.0, 1.0915457837168288)	(4.0, 0.4776827090782852)	(5.0, 0.3411978300660823)	(6.0, 0.26648179105189157)	(7.0, 0.1986943201756493)	(8.0, 0.14183937070383623)	(9.0, 0.14089760641876742)	('>10', 1.8661559726914019)	('>50', 1.0119288575598522)	('>100', 0.6685596390322275)	('>500', 0.16800757920043763)	('>1k', 0.13334161824028234)	('>5k', 0.030985807884563357)	('>10k+', 0.16904001932663923)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	(1.0, 95.68194523327112)	(2.0, 0.5114765719133113)	(3.0, 0.07997534822533794)	(4.0, 0.03948739285273967)	(5.0, 0.03275223094208162)	(6.0, 0.022811368230664247)	(7.0, 0.00936014807883142)	(8.0, 0.010465681002840716)	(9.0, 0.005802164940630124)	('>10', 0.0869905340040311)	('>50', 0.017840362858017357)	('>100', 0.034741759249823284)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.4663512044305658)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	(1.0, 86.54500242310765)	(2.0, 6.946440682948878)	(3.0, 0.9903315237389014)	(4.0, 0.46340970105325613)	(5.0, 0.33271283803278995)	(6.0, 0.22689730781431813)	(7.0, 0.18899200214994205)	(8.0, 0.15505701941363467)	(9.0, 0.12910038303640692)	('>10', 1.8336666050270944)	('>50', 1.112337093218603)	('>100', 0.6917719145059352)	('>500', 0.20738917478572375)	('>1k', 0.15171071963274207)	('>5k', 0.025180611534114567)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	(1.0, 96.28862245386657)	(2.0, 1.6584304930420175)	(3.0, 0.6186329976703899)	(4.0, 0.3239599820637396)	(5.0, 0.15560913673290588)	(6.0, 0.09048641708398537)	(7.0, 0.050110619707865775)	(8.0, 0.039002781693181186)	(9.0, 0.035059873103723244)	('>10', 0.08779784734036815)	('>50', 0.021226659922588514)	('>100', 0.07264234729063625)	('>500', 0.1573917524630452)	('>1k', 0.4010266380189778)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	(1.0, 86.0434466816153)	(2.0, 7.076841369579047)	(3.0, 1.0455664031974712)	(4.0, 0.4925854068691918)	(5.0, 0.31223196811969645)	(6.0, 0.24948902726130343)	(7.0, 0.20166995346313304)	(8.0, 0.14682010369822723)	(9.0, 0.12589749108586)	('>10', 1.8295932916707829)	('>50', 1.1662074344367845)	('>100', 0.7705390971029769)	('>500', 0.20009199631168167)	('>1k', 0.15759761983584075)	('>5k', 0.030317243298900044)	('>10k+', 0.15110491245379196)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	(1.0, 96.57269591681646)	(2.0, 0.46694131165198083)	(3.0, 0.09919034079468034)	(4.0, 0.04922772720482684)	(5.0, 0.030441659265569503)	(6.0, 0.023975802734822062)	(7.0, 0.014816877345020013)	(8.0, 0.005539665134326046)	(9.0, 0.024628492207075442)	('>10', 0.1129282509235913)	('>50', 0.022739098148015408)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.5768748577736282)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	(1.0, 87.27259137326212)	(2.0, 6.426503550371783)	(3.0, 0.9873800715059617)	(4.0, 0.47543830577315305)	(5.0, 0.3117747441244318)	(6.0, 0.24193616569587384)	(7.0, 0.2050398843172111)	(8.0, 0.14909730196481863)	(9.0, 0.15016674733688712)	('>10', 1.8721565496852066)	('>50', 0.9230689584035439)	('>100', 0.600706802152701)	('>500', 0.23564046363644225)	('>1k', 0.12862920053396854)	('>5k', 0.019869881235876973)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	(1.0, 96.53089941052103)	(2.0, 1.7552816857906586)	(3.0, 0.525209761593778)	(4.0, 0.2614939398062416)	(5.0, 0.14254231578248858)	(6.0, 0.07688912703263763)	(7.0, 0.05433962663265093)	(8.0, 0.04181271973158679)	(9.0, 0.02388703870658772)	('>10', 0.10027601854464012)	('>50', 0.026341822091978502)	('>100', 0.08384735913345022)	('>500', 0.04911187169690907)	('>1k', 0.3280673029353526)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	(1.0, 86.76971606041354)	(2.0, 6.656198928516793)	(3.0, 1.080633938499701)	(4.0, 0.4597796081725117)	(5.0, 0.2903629490210703)	(6.0, 0.2575534158487077)	(7.0, 0.18476457383229822)	(8.0, 0.14787951892854365)	(9.0, 0.12195664015524466)	('>10', 1.8829814336910753)	('>50', 0.9990462689745419)	('>100', 0.6321631134353437)	('>500', 0.21457064467342804)	('>1k', 0.12069379748860781)	('>5k', 0.03029248653432757)	('>10k+', 0.15140662181420955)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	(1.0, 96.94577450612137)	(2.0, 0.5493971381650001)	(3.0, 0.09908222175344268)	(4.0, 0.06004299435131956)	(5.0, 0.03102040107161731)	(6.0, 0.013353066867440656)	(7.0, 0.02525380645102162)	(8.0, 0.01417934152048238)	(9.0, 0.01892844495783459)	('>10', 0.08494036427992045)	('>50', 0.017860487211833392)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.1401672272487278)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	(1.0, 86.66371298086314)	(2.0, 6.907076572500544)	(3.0, 1.0333529716527903)	(4.0, 0.479438025512394)	(5.0, 0.32475621405153604)	(6.0, 0.23092392638047898)	(7.0, 0.21201941550665404)	(8.0, 0.1650845800231226)	(9.0, 0.14913912842746171)	('>10', 1.7443721184663707)	('>50', 1.0606434991165763)	('>100', 0.651794198091731)	('>500', 0.21061963992564178)	('>1k', 0.13819600440733293)	('>5k', 0.028870725074221483)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	(1.0, 96.74610878842306)	(2.0, 1.5414983160327411)	(3.0, 0.5236695398699824)	(4.0, 0.25730131149076574)	(5.0, 0.14468502506907133)	(6.0, 0.10660219910373213)	(7.0, 0.05612370869953892)	(8.0, 0.017250574918388807)	(9.0, 0.020693760101197407)	('>10', 0.06894137864571648)	('>50', 0.022953346631796875)	('>100', 0.08869105628683277)	('>500', 0.055020522073277796)	('>1k', 0.3504604726538692)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	(1.0, 86.45104875064466)	(2.0, 6.927333753061532)	(3.0, 1.0857501403295156)	(4.0, 0.45183865419079744)	(5.0, 0.3372756741532002)	(6.0, 0.2565574058359244)	(7.0, 0.19374756361574266)	(8.0, 0.16285653351692927)	(9.0, 0.12594216747732465)	('>10', 1.7586407948960006)	('>50', 1.0473309268787943)	('>100', 0.6912811797366922)	('>500', 0.2002362322640822)	('>1k', 0.14575802635535334)	('>5k', 0.024190239240706356)	('>10k+', 0.1402119578028158)
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	(1.0, 96.29430627622821)	(2.0, 0.5372238646939493)	(3.0, 0.10697538783247443)	(4.0, 0.04483048654108434)	(5.0, 0.018472639073425046)	(6.0, 0.010539572730886099)	(7.0, 0.007142681740437035)	(8.0, 0.01864890690974591)	(9.0, 0.008867152695341544)	('>10', 0.19276663349004924)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 2.7602263980643893)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	(1.0, 85.18375667839715)	(2.0, 7.913578917033099)	(3.0, 1.2338376230246042)	(4.0, 0.48730305378252387)	(5.0, 0.3476148433077713)	(6.0, 0.26978796716135117)	(7.0, 0.20790353530052244)	(8.0, 0.14897881675034266)	(9.0, 0.14202548936781556)	('>10', 1.6514803318898092)	('>50', 1.094758773342801)	('>100', 0.9494303427058655)	('>500', 0.16510915700786585)	('>1k', 0.1374167960557982)	('>5k', 0.03293082025693287)	('>10k+', 0.03408685461577435)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	(1.0, 95.07608362538818)	(2.0, 1.6453465894902513)	(3.0, 0.7442389672221451)	(4.0, 0.4196095128673484)	(5.0, 0.2331135510749426)	(6.0, 0.15524263809793173)	(7.0, 0.09481389135083838)	(8.0, 0.06837917986665043)	(9.0, 0.047788449891957505)	('>10', 0.14567963344108398)	('>50', 0.007460886942760141)	('>100', 0.10261485245030569)	('>500', 0.03461705865793445)	('>1k', 0.9037524956767885)	('>5k', 0.32125866758086663)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	(1.0, 84.4684976872496)	(2.0, 8.446285885406317)	(3.0, 1.2238008111232295)	(4.0, 0.5104136977626065)	(5.0, 0.30714471813189337)	(6.0, 0.23143033263308124)	(7.0, 0.20955186685142152)	(8.0, 0.17368464188764032)	(9.0, 0.13180321842624967)	('>10', 1.6595053124377521)	('>50', 1.0452733606049345)	('>100', 1.0449760592161934)	('>500', 0.17353343599375465)	('>1k', 0.15556206983870216)	('>5k', 0.013724988586530047)	('>10k+', 0.20481191384997688)
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	(1.0, 95.38190922078232)	(2.0, 0.5479093669471582)	(3.0, 0.112667506918207)	(4.0, 0.041670878894120716)	(5.0, 0.017810539665793476)	(6.0, 0.01268179870936503)	(7.0, 0.0100679785560188)	(8.0, 0.00444772288939952)	(9.0, 0.01464884115828392)	('>10', 0.13112356553572707)	('>50', 0.023643927104474313)	('>100', 0.03406759389246837)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 3.6673510589466884)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	(1.0, 85.64882877910061)	(2.0, 7.720510310000438)	(3.0, 1.1228513752093487)	(4.0, 0.46127952877725636)	(5.0, 0.32061192629333957)	(6.0, 0.22180944380780593)	(7.0, 0.19490100081791503)	(8.0, 0.13897818630945794)	(9.0, 0.12002326848451236)	('>10', 1.7081239922269347)	('>50', 1.0795915253824073)	('>100', 0.8308298772766669)	('>500', 0.15366462071376716)	('>1k', 0.24293848020207962)	('>5k', 0.027029589524221482)	('>10k+', 0.008028095873290612)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	(1.0, 96.4679321069001)	(2.0, 1.47407098752973)	(3.0, 0.48302270887205684)	(4.0, 0.286573337471652)	(5.0, 0.14609202696681217)	(6.0, 0.09332577442691074)	(7.0, 0.05133176608206787)	(8.0, 0.04170790611307785)	(9.0, 0.040498560528632356)	('>10', 0.11454293295598157)	('>50', 0.04180396285949421)	('>100', 0.063093670757584)	('>500', 0.21310856614544854)	('>1k', 0.48289569239044744)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	(1.0, 84.9778954321201)	(2.0, 8.007972521307655)	(3.0, 1.204307849259386)	(4.0, 0.4653511477037531)	(5.0, 0.361845527186676)	(6.0, 0.26425007206849577)	(7.0, 0.1905264373711822)	(8.0, 0.14668707048818522)	(9.0, 0.10281685808789726)	('>10', 1.6757244677746332)	('>50', 1.09373763536796)	('>100', 0.8514053981571257)	('>500', 0.16824662518963138)	('>1k', 0.26905613768382286)	('>5k', 0.02729953700323567)	('>10k+', 0.19287728323016845)
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	(1.0, 96.10850059427815)	(2.0, 0.5372624518770527)	(3.0, 0.1361977497714792)	(4.0, 0.04807711064242427)	(5.0, 0.023918198553234828)	(6.0, 0.015411510537790581)	(7.0, 0.017240408982447924)	(8.0, 0.014357471624638267)	(9.0, 0.021109542026892972)	('>10', 0.1115644645749197)	('>50', 0.0)	('>100', 0.029353298671072527)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.937007198459886)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	(1.0, 83.96199020892672)	(2.0, 9.001768527307991)	(3.0, 1.3446602041248523)	(4.0, 0.5631806191392933)	(5.0, 0.3845501237516641)	(6.0, 0.2627674652368381)	(7.0, 0.18888664507108804)	(8.0, 0.15595081218170465)	(9.0, 0.12599611950270564)	('>10', 1.6914485142266873)	('>50', 1.0436307833507161)	('>100', 0.8716346961826523)	('>500', 0.13322454354979538)	('>1k', 0.2192148425727017)	('>5k', 0.028932348289102093)	('>10k+', 0.02216354658525769)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	(1.0, 96.18078736702967)	(2.0, 1.4212922869756055)	(3.0, 0.4900378966167505)	(4.0, 0.266907490504312)	(5.0, 0.1376449370858341)	(6.0, 0.09115060510068503)	(7.0, 0.05589280021289436)	(8.0, 0.03675813219308304)	(9.0, 0.03281170505922808)	('>10', 0.15103252950352009)	('>50', 0.019430593349196522)	('>100', 0.12322764601805744)	('>500', 0.04925379198201591)	('>1k', 0.6278771540305155)	('>5k', 0.31589506433862913)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	(1.0, 83.4925078510024)	(2.0, 9.220020045765821)	(3.0, 1.3736285053340191)	(4.0, 0.5673566735333815)	(5.0, 0.374023578722943)	(6.0, 0.2813459206247352)	(7.0, 0.22055026130214495)	(8.0, 0.17768840227057647)	(9.0, 0.13580062028179096)	('>10', 1.7112460281596162)	('>50', 0.9821198079580795)	('>100', 0.8871923956229494)	('>500', 0.1418556670203171)	('>1k', 0.253340266077889)	('>5k', 0.028355317427624153)	('>10k+', 0.1529686588956353)
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	(1.0, 96.69519182012901)	(2.0, 0.5801525452169745)	(3.0, 0.12922238267306238)	(4.0, 0.04467220868063472)	(5.0, 0.04338729329501571)	(6.0, 0.0164591437150659)	(7.0, 0.0126185794162261)	(8.0, 0.007863363552930339)	(9.0, 0.012809741707733515)	('>10', 0.12088656437950161)	('>50', 0.027610035428667173)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.309126321805172)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	(1.0, 84.46616872843825)	(2.0, 8.278431773965604)	(3.0, 1.1827163889374872)	(4.0, 0.5041838256763848)	(5.0, 0.3385575334465818)	(6.0, 0.27972163216721296)	(7.0, 0.2228476762694427)	(8.0, 0.17993305858604136)	(9.0, 0.13199199249830298)	('>10', 1.6374581459700461)	('>50', 1.2613082247996261)	('>100', 1.0950532715450074)	('>500', 0.15796260015891986)	('>1k', 0.21663836415080318)	('>5k', 0.027023422513477117)	('>10k+', 0.020003360876867052)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	(1.0, 95.8784332717927)	(2.0, 1.5146863245955893)	(3.0, 0.677450008633273)	(4.0, 0.4358159211469512)	(5.0, 0.2523363412151367)	(6.0, 0.16510378500901432)	(7.0, 0.09282111560348852)	(8.0, 0.05950759509000675)	(9.0, 0.05248191350202824)	('>10', 0.18792252018456845)	('>50', 0.015194585391334356)	('>100', 0.07253023309529619)	('>500', 0.1382179913702814)	('>1k', 0.4574983933703297)	('>5k', 0.0)	('>10k+', 0.0)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	(1.0, 83.81595846955217)	(2.0, 8.632769043040398)	(3.0, 1.282021175317311)	(4.0, 0.502206935924486)	(5.0, 0.34687014202190763)	(6.0, 0.2632249738294166)	(7.0, 0.22939633569647283)	(8.0, 0.1845720052805041)	(9.0, 0.15369164920660583)	('>10', 1.64074508830583)	('>50', 1.1277040752476069)	('>100', 1.203738049305572)	('>500', 0.15103787407969613)	('>1k', 0.24251095582885676)	('>5k', 0.017027273837433562)	('>10k+', 0.2065259535257436)
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	(1.0, 96.42200588664754)	(2.0, 0.614854163020915)	(3.0, 0.13706335661242963)	(4.0, 0.05312685935459827)	(5.0, 0.03274968636257171)	(6.0, 0.02421636014710598)	(7.0, 0.02480536132729575)	(8.0, 0.0020938932655021293)	(9.0, 0.004572751356744054)	('>10', 0.16014381898685368)	('>50', 0.017886843235917965)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.5064810196825302)
