Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	(1.0, 86.47155733213093)	(2.0, 6.8623784084824475)	(3.0, 1.0787945636573952)	(4.0, 0.44943584652691604)	(5.0, 0.3299894146887162)	(6.0, 0.2533299604508041)	(7.0, 0.1925710268175452)	(8.0, 0.1557180687164516)	(9.0, 0.12682325035316128)	('>10', 1.7427488641573494)	('>50', 1.0440378642858317)	('>100', 0.6824955543831908)	('>500', 0.2059491291321361)	('>1k', 0.14353257534318326)	('>5k', 0.03614403469068249)	('>10k+', 0.22449410618328508)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	(1.0, 85.09010919404871)	(2.0, 7.934927299011083)	(3.0, 1.2485535850024265)	(4.0, 0.48520362590357846)	(5.0, 0.33855196911270213)	(6.0, 0.2747237478674892)	(7.0, 0.20785701782493038)	(8.0, 0.14894483895832705)	(9.0, 0.13599280079893272)	('>10', 1.6508527296530295)	('>50', 1.0921289430839536)	('>100', 0.9989574255481912)	('>500', 0.1661545735292119)	('>1k', 0.1346578986102171)	('>5k', 0.03432451329455296)	('>10k+', 0.05805983775268351)
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	(1.0, 84.54427886400187)	(2.0, 8.363833782306449)	(3.0, 1.214989304923895)	(4.0, 0.4971087081892632)	(5.0, 0.3069302748648781)	(6.0, 0.22927411172657175)	(7.0, 0.2004293868983212)	(8.0, 0.1625889728243717)	(9.0, 0.1466759620407528)	('>10', 1.6351990309002442)	('>50', 1.034065940030211)	('>100', 1.045566102943866)	('>500', 0.1722909698914247)	('>1k', 0.15437430482303394)	('>5k', 0.021376399406462805)	('>10k+', 0.27101788422844636)
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	(1.0, 85.55170484474925)	(2.0, 7.756271439845717)	(3.0, 1.125672768844757)	(4.0, 0.46819454008218453)	(5.0, 0.32355561161172486)	(6.0, 0.22277127785820752)	(7.0, 0.19386814388018203)	(8.0, 0.14195262853796156)	(9.0, 0.11800148053022443)	('>10', 1.7107001753572708)	('>50', 1.0780780132463146)	('>100', 0.8531343011971924)	('>500', 0.1526836528364217)	('>1k', 0.2528927749382281)	('>5k', 0.025761699617744577)	('>10k+', 0.024756646866772664)
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	(1.0, 84.99341687485531)	(2.0, 7.932900152730982)	(3.0, 1.206474411303431)	(4.0, 0.459057619821475)	(5.0, 0.35561924341287793)	(6.0, 0.26307023291753906)	(7.0, 0.18839974648708196)	(8.0, 0.14658399527879917)	(9.0, 0.10673422230711088)	('>10', 1.6563671688763886)	('>50', 1.0915909814970455)	('>100', 0.8694453440578863)	('>500', 0.1681486781686018)	('>1k', 0.27875051031480047)	('>5k', 0.014662935276171019)	('>10k+', 0.26877788269459385)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	(1.0, 83.94346358021863)	(2.0, 8.987953451375775)	(3.0, 1.3465257779296598)	(4.0, 0.5521408921755511)	(5.0, 0.38750610995400503)	(6.0, 0.26673507404136454)	(7.0, 0.1958605461829777)	(8.0, 0.15593280868988146)	(9.0, 0.127980815945017)	('>10', 1.6820475344463237)	('>50', 1.0432830750546973)	('>100', 0.8905789073372004)	('>500', 0.13999341290532918)	('>1k', 0.21979248258827505)	('>5k', 0.019713808335681406)	('>10k+', 0.04049172281960326)
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	(1.0, 83.53727942697195)	(2.0, 9.133146037210413)	(3.0, 1.3678672102075342)	(4.0, 0.5560705878915253)	(5.0, 0.3738086147871855)	(6.0, 0.28517166563813706)	(7.0, 0.220421981556557)	(8.0, 0.17758443951488903)	(9.0, 0.13871453595276326)	('>10', 1.69307927033359)	('>50', 0.9762585632636671)	('>100', 0.9056207981679129)	('>500', 0.14153215681934167)	('>1k', 0.25729636400568084)	('>5k', 0.024576930785963038)	('>10k+', 0.2115714168928767)
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	(1.0, 84.4070612656247)	(2.0, 8.275588516547524)	(3.0, 1.1935671417097173)	(4.0, 0.5091186589590387)	(5.0, 0.33152789122277093)	(6.0, 0.2826842154248657)	(7.0, 0.229813788278711)	(8.0, 0.18290789184185383)	(9.0, 0.1329738032802106)	('>10', 1.635033643497295)	('>50', 1.2475818210096887)	('>100', 1.1342413280236991)	('>500', 0.1492912609763673)	('>1k', 0.236736895176621)	('>5k', 0.022609135389556237)	('>10k+', 0.029262743037470316)
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	(1.0, 83.85419440192716)	(2.0, 8.55436898363121)	(3.0, 1.2700629454533052)	(4.0, 0.49782657965843696)	(5.0, 0.34360593966033376)	(6.0, 0.2550439409048534)	(7.0, 0.2252251828712323)	(8.0, 0.18840991927878106)	(9.0, 0.15356636936182333)	('>10', 1.6191798674748874)	('>50', 1.1223778856768676)	('>100', 1.208418579043934)	('>500', 0.1496615853169937)	('>1k', 0.2564851925672356)	('>5k', 0.020758024207091955)	('>10k+', 0.280814602965955)
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	(1.0, 86.52676285284919)	(2.0, 7.234529492932987)	(3.0, 1.0517339356125923)	(4.0, 0.4806048240162624)	(5.0, 0.33085412620640947)	(6.0, 0.20898751345310485)	(7.0, 0.19906394159602075)	(8.0, 0.15410818038914675)	(9.0, 0.1291398001744811)	('>10', 1.6359044506639184)	('>50', 1.0984946682611239)	('>100', 0.6585117820951125)	('>500', 0.1666139815137082)	('>1k', 0.09810117800929806)	('>5k', 0.026589272226588426)	('>10k+', 0.0)
