Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	(50, 31561.0)	(55, 33028.0)	(60, 34473.0)	(65, 35328.0)	(70, 38316.0)	(75, 39419.0)	(80, 39851.0)	(85, 62715.0)	(90, 69818.0)	(95, 72992.0)	(100, 76827.0)	(105, 78536.0)	(110, 79547.0)	(115, 80035.0)	(120, 80345.0)	(125, 82247.0)	(130, 85979.0)	(135, 89974.0)	(140, 92581.0)	(145, 75857.0)	(150, 121178273.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	(50, 32322.0)	(55, 33848.0)	(60, 35326.0)	(65, 36094.0)	(70, 39154.0)	(75, 40142.0)	(80, 40353.0)	(85, 62950.0)	(90, 70113.0)	(95, 73860.0)	(100, 78758.0)	(105, 79773.0)	(110, 80157.0)	(115, 80651.0)	(120, 81027.0)	(125, 83035.0)	(130, 86998.0)	(135, 91727.0)	(140, 93874.0)	(145, 75857.0)	(150, 121161683.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	(50, 34581.0)	(55, 36435.0)	(60, 38063.0)	(65, 39590.0)	(70, 41997.0)	(75, 42840.0)	(80, 43211.0)	(85, 64297.0)	(90, 71320.0)	(95, 75100.0)	(100, 78042.0)	(105, 79194.0)	(110, 79400.0)	(115, 80120.0)	(120, 79862.0)	(125, 80890.0)	(130, 83309.0)	(135, 86760.0)	(140, 87959.0)	(145, 71859.0)	(150, 108353010.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_filtered	(50, 35175.0)	(55, 37008.0)	(60, 38687.0)	(65, 40120.0)	(70, 42671.0)	(75, 43424.0)	(80, 43719.0)	(85, 64379.0)	(90, 71414.0)	(95, 75852.0)	(100, 79799.0)	(105, 80293.0)	(110, 79899.0)	(115, 80564.0)	(120, 80475.0)	(125, 81552.0)	(130, 84163.0)	(135, 88365.0)	(140, 89036.0)	(145, 71859.0)	(150, 108339385.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_filtered	(50, 30488.0)	(55, 31722.0)	(60, 32818.0)	(65, 33903.0)	(70, 36075.0)	(75, 36702.0)	(80, 37310.0)	(85, 61514.0)	(90, 69875.0)	(95, 73437.0)	(100, 76944.0)	(105, 79105.0)	(110, 80317.0)	(115, 80555.0)	(120, 80975.0)	(125, 82636.0)	(130, 85871.0)	(135, 89132.0)	(140, 91969.0)	(145, 75501.0)	(150, 118107796.0)
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_filtered	(50, 30919.0)	(55, 32210.0)	(60, 33285.0)	(65, 34310.0)	(70, 36475.0)	(75, 37056.0)	(80, 37423.0)	(85, 61390.0)	(90, 69766.0)	(95, 74045.0)	(100, 78391.0)	(105, 80185.0)	(110, 80617.0)	(115, 80963.0)	(120, 81400.0)	(125, 82853.0)	(130, 86424.0)	(135, 90302.0)	(140, 92880.0)	(145, 75501.0)	(150, 118098250.0)
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R1_filtered	(50, 40563.0)	(55, 42562.0)	(60, 43864.0)	(65, 46080.0)	(70, 48577.0)	(75, 50363.0)	(80, 50551.0)	(85, 78287.0)	(90, 87818.0)	(95, 91124.0)	(100, 95686.0)	(105, 97692.0)	(110, 97666.0)	(115, 98538.0)	(120, 99703.0)	(125, 101043.0)	(130, 104040.0)	(135, 109738.0)	(140, 112852.0)	(145, 90501.0)	(150, 154236107.0)
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R2_filtered	(50, 41280.0)	(55, 43237.0)	(60, 44506.0)	(65, 46744.0)	(70, 49264.0)	(75, 50929.0)	(80, 50690.0)	(85, 78055.0)	(90, 87644.0)	(95, 92249.0)	(100, 97967.0)	(105, 99095.0)	(110, 98102.0)	(115, 99319.0)	(120, 100340.0)	(125, 101757.0)	(130, 105009.0)	(135, 111515.0)	(140, 114374.0)	(145, 90501.0)	(150, 154220778.0)
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R1_filtered	(50, 40297.0)	(55, 42162.0)	(60, 43591.0)	(65, 45442.0)	(70, 48434.0)	(75, 50608.0)	(80, 50730.0)	(85, 80831.0)	(90, 91118.0)	(95, 95101.0)	(100, 99959.0)	(105, 102463.0)	(110, 103046.0)	(115, 103441.0)	(120, 104466.0)	(125, 106534.0)	(130, 110611.0)	(135, 115263.0)	(140, 119220.0)	(145, 100351.0)	(150, 141392203.0)
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R2_filtered	(50, 41208.0)	(55, 43168.0)	(60, 44574.0)	(65, 46395.0)	(70, 49438.0)	(75, 51604.0)	(80, 51342.0)	(85, 81208.0)	(90, 91394.0)	(95, 96218.0)	(100, 102250.0)	(105, 104177.0)	(110, 103810.0)	(115, 104393.0)	(120, 105367.0)	(125, 107420.0)	(130, 111949.0)	(135, 117593.0)	(140, 120769.0)	(145, 100351.0)	(150, 141371243.0)
